story,status,planned,executed,covered,missing,planned_list,executed_list,missing_list,extra_list,extra_same_family_list,extra_diff_family_list,extra_families,status_reason
STRY0070709,GREEN,6,6,6,0,"KPSE01,KPSE02,KPSE03,KPSE04,KPSE05,KPSE06","KPSE01,KPSE02,KPSE03,KPSE04,KPSE05,KPSE06",,,,,,ALL_PLANNED_EXECUTED
STRY0071939,GREEN,18,18,18,0,"KPSE07,KPSE08,KPSE09,KPSE10,KPSE11,KPSE12,KPSE13,KPSE14,KPSE15,KPSE16,KPSE17,KPSE18,KPSE19,KPSE20,KPSE21,KPSE22,KPSE23,KPSE24","KPSE07,KPSE08,KPSE09,KPSE10,KPSE11,KPSE12,KPSE13,KPSE14,KPSE15,KPSE16,KPSE17,KPSE18,KPSE19,KPSE20,KPSE21,KPSE22,KPSE23,KPSE24",,,,,,ALL_PLANNED_EXECUTED
STRY0072638,GREEN,7,7,7,0,"KP01,KP32,KP33,KP34,KP35,KP36,KP37","KP01,KP32,KP33,KP34,KP35,KP36,KP37",,,,,,ALL_PLANNED_EXECUTED
STRY0083447,GREEN,11,11,11,0,"KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51","KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51",,,,,,ALL_PLANNED_EXECUTED
STRY0084107,GREEN,3,3,3,0,"CEMO701,CEMO702,CEMO703","CEMO701,CEMO702,CEMO703",,,,,,ALL_PLANNED_EXECUTED
STRY0084121,GREEN,1,1,1,0,CEMOAC01,CEMOAC01,,,,,,ALL_PLANNED_EXECUTED
STRY0084135,GREEN,1,1,1,0,CEMO601,CEMO601,,,,,,ALL_PLANNED_EXECUTED
STRY0084158,GREEN,1,1,1,0,CEMO602,CEMO602,,,,,,ALL_PLANNED_EXECUTED
STRY0085912,GREEN,1,1,1,0,IS01,IS01,,,,,,ALL_PLANNED_EXECUTED
STRY0085923,GREEN,1,1,1,0,IS02,IS02,,,,,,ALL_PLANNED_EXECUTED
STRY0085924,GREEN,1,1,1,0,IS03,IS03,,,,,,ALL_PLANNED_EXECUTED
STRY0085928,GREEN,1,1,1,0,IS04,IS04,,,,,,ALL_PLANNED_EXECUTED
STRY0085930,GREEN,2,2,2,0,"IS05,IS06","IS05,IS06",,,,,,ALL_PLANNED_EXECUTED
STRY0085931,GREEN,6,6,6,0,"IS07,IS08,IS09,IS10,IS11,IS12","IS07,IS08,IS09,IS10,IS11,IS12",,,,,,ALL_PLANNED_EXECUTED
STRY0086297,GREEN,11,11,11,0,"IS31,IS32,IS33,IS34,IS35,IS36,IS37,IS38,IS39,IS40,IS41","IS31,IS32,IS33,IS34,IS35,IS36,IS37,IS38,IS39,IS40,IS41",,,,,,ALL_PLANNED_EXECUTED
STRY0086298,GREEN,11,11,11,0,"IS42,IS43,IS44,IS45,IS46,IS47,IS48,IS49,IS50,IS51,IS52","IS42,IS43,IS44,IS45,IS46,IS47,IS48,IS49,IS50,IS51,IS52",,,,,,ALL_PLANNED_EXECUTED
STRY0086330,GREEN,5,5,5,0,"IS117,IS120,IS123,IS126,IS129","IS117,IS120,IS123,IS126,IS129",,,,,,ALL_PLANNED_EXECUTED
STRY0086400,GREEN,5,5,5,0,"IS117,IS120,IS123,IS126,IS129","IS117,IS120,IS123,IS126,IS129",,,,,,ALL_PLANNED_EXECUTED
STRY0086404,GREEN,6,6,6,0,"IS53,IS54,IS55,IS56,IS57,IS58","IS53,IS54,IS55,IS56,IS57,IS58",,,,,,ALL_PLANNED_EXECUTED
STRY0086767,GREEN,2,2,2,0,"KPSE79,KPSE80","KPSE79,KPSE80",,,,,,ALL_PLANNED_EXECUTED
STRY0086774,GREEN,1,1,1,0,KPSE26,KPSE26,,,,,,ALL_PLANNED_EXECUTED
STRY0086775,GREEN,1,1,1,0,KPSE25,KPSE25,,,,,,ALL_PLANNED_EXECUTED
STRY0086776,GREEN,2,2,2,0,"KPSE27,KPSE28","KPSE27,KPSE28",,,,,,ALL_PLANNED_EXECUTED
STRY0086778,GREEN,17,17,17,0,"KP02,KP16,KP17,KP18,KP19,KP20,KP21,KP22,KP23,KP24,KP25,KP26,KP27,KP28,KP29,KP30,KP31","KP02,KP16,KP17,KP18,KP19,KP20,KP21,KP22,KP23,KP24,KP25,KP26,KP27,KP28,KP29,KP30,KP31",,,,,,ALL_PLANNED_EXECUTED
STRY0086885,GREEN,2,2,2,0,"KPSE29,KPSE30","KPSE29,KPSE30",,,,,,ALL_PLANNED_EXECUTED
STRY0086886,GREEN,1,1,1,0,KPSE31,KPSE31,,,,,,ALL_PLANNED_EXECUTED
STRY0086887,GREEN,1,1,1,0,KP53,KP53,,,,,,ALL_PLANNED_EXECUTED
STRY0086888,GREEN,1,1,1,0,KPSE32,KPSE32,,,,,,ALL_PLANNED_EXECUTED
STRY0086890,GREEN,2,2,2,0,"KP10,KP38","KP10,KP38",,,,,,ALL_PLANNED_EXECUTED
STRY0087281,RED,1,0,0,1,NA,,NA,,,,,MISSING_PLANNED
STRY0087283,GREEN,6,6,6,0,"IS07,IS08,IS09,IS10,IS11,IS12","IS07,IS08,IS09,IS10,IS11,IS12",,,,,,ALL_PLANNED_EXECUTED
STRY0087287,GREEN,6,6,6,0,"IS13,IS14,IS15,IS16,IS17,IS18","IS13,IS14,IS15,IS16,IS17,IS18",,,,,,ALL_PLANNED_EXECUTED
STRY0087291,GREEN,5,5,5,0,"IS19,IS20,IS21,IS22,IS23","IS19,IS20,IS21,IS22,IS23",,,,,,ALL_PLANNED_EXECUTED
STRY0087294,GREEN,1,1,1,0,IS24,IS24,,,,,,ALL_PLANNED_EXECUTED
STRY0087295,GREEN,5,5,5,0,"IS25,IS26,IS27,IS28,IS29","IS25,IS26,IS27,IS28,IS29",,,,,,ALL_PLANNED_EXECUTED
STRY0087296,GREEN,1,1,1,0,IS30,IS30,,,,,,ALL_PLANNED_EXECUTED
STRY0087935,GREEN,2,2,2,0,"KP41,KP42","KP41,KP42",,,,,,ALL_PLANNED_EXECUTED
STRY0088343,GREEN,4,4,4,0,"KPSE33,KPSE34,KPSE35,KPSE36","KPSE33,KPSE34,KPSE35,KPSE36",,,,,,ALL_PLANNED_EXECUTED
STRY0088344,GREEN,4,4,4,0,"KPSE37,KPSE38,KPSE39,KPSE40","KPSE37,KPSE38,KPSE39,KPSE40",,,,,,ALL_PLANNED_EXECUTED
STRY0088347,GREEN,11,11,11,0,"KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51","KPSE41,KPSE42,KPSE43,KPSE44,KPSE45,KPSE46,KPSE47,KPSE48,KPSE49,KPSE50,KPSE51",,,,,,ALL_PLANNED_EXECUTED
STRY0088348,GREEN,3,3,3,0,"KPSE52,KPSE53,KPSE54","KPSE52,KPSE53,KPSE54",,,,,,ALL_PLANNED_EXECUTED
STRY0088352,GREEN,7,7,7,0,"KPSE55,KPSE56,KPSE57,KPSE58,KPSE59,KPSE60,KPSE61","KPSE55,KPSE56,KPSE57,KPSE58,KPSE59,KPSE60,KPSE61",,,,,,ALL_PLANNED_EXECUTED
STRY0088498,GREEN,2,2,2,0,"KP43,KP44","KP43,KP44",,,,,,ALL_PLANNED_EXECUTED
STRY0088500,GREEN,2,2,2,0,"KP45,KP46","KP45,KP46",,,,,,ALL_PLANNED_EXECUTED
STRY0088506,GREEN,2,2,2,0,"KP54,KP55","KP54,KP55",,,,,,ALL_PLANNED_EXECUTED
STRY0088507,GREEN,2,2,2,0,"KP47,KP48","KP47,KP48",,,,,,ALL_PLANNED_EXECUTED
STRY0088508,GREEN,2,2,2,0,"KP49,KP50","KP49,KP50",,,,,,ALL_PLANNED_EXECUTED
STRY0088509,GREEN,2,2,2,0,"KP51,KP52","KP51,KP52",,,,,,ALL_PLANNED_EXECUTED
STRY0088537,GREEN,1,1,1,0,KP56,KP56,,,,,,ALL_PLANNED_EXECUTED
STRY0088540,GREEN,1,1,1,0,KP57,KP57,,,,,,ALL_PLANNED_EXECUTED
STRY0088541,GREEN,1,1,1,0,KPSE62,KPSE62,,,,,,ALL_PLANNED_EXECUTED
STRY0088542,GREEN,3,3,3,0,"KPSE63,KPSE64,KPSE65","KPSE63,KPSE64,KPSE65",,,,,,ALL_PLANNED_EXECUTED
STRY0088559,GREEN,1,1,1,0,KPSE66,KPSE66,,,,,,ALL_PLANNED_EXECUTED
STRY0088560,GREEN,2,2,2,0,"KP03,KP04","KP03,KP04",,,,,,ALL_PLANNED_EXECUTED
STRY0088799,GREEN,12,12,12,0,"KPSE67,KPSE68,KPSE69,KPSE70,KPSE71,KPSE72,KPSE73,KPSE74,KPSE75,KPSE76,KPSE77,KPSE78","KPSE67,KPSE68,KPSE69,KPSE70,KPSE71,KPSE72,KPSE73,KPSE74,KPSE75,KPSE76,KPSE77,KPSE78",,,,,,ALL_PLANNED_EXECUTED
STRY0089352,AMBER,11,12,11,0,"CEMO605,CEMO606,CEMO607,CEMO613,CEMO614,CEMO706,CEMOAC01,ME03,ME04,ME05,ME06","CEMO605,CEMO606,CEMO607,CEMO613,CEMO614,CEMO706,CEMOAC01,ME03,ME04,ME05,ME06,ME07",,ME07,ME07,,ME,SAME_FAMILY_EXTRA_TESTS
STRY0089363,GREEN,2,2,2,0,"ME01,ME02","ME01,ME02",,,,,,ALL_PLANNED_EXECUTED
STRY0089373,GREEN,1,1,1,0,IS59,IS59,,,,,,ALL_PLANNED_EXECUTED
STRY0089394,GREEN,3,3,3,0,"IS61,IS62,IS63","IS61,IS62,IS63",,,,,,ALL_PLANNED_EXECUTED
STRY0089397,GREEN,3,3,3,0,"IS69,IS70,IS71","IS69,IS70,IS71",,,,,,ALL_PLANNED_EXECUTED
STRY0089398,GREEN,1,1,1,0,IS67,IS67,,,,,,ALL_PLANNED_EXECUTED
STRY0089399,GREEN,6,6,6,0,"IS84,IS85,IS86,IS87,IS88,IS89","IS84,IS85,IS86,IS87,IS88,IS89",,,,,,ALL_PLANNED_EXECUTED
STRY0089400,GREEN,2,2,2,0,"IS90,IS91","IS90,IS91",,,,,,ALL_PLANNED_EXECUTED
STRY0089401,GREEN,3,3,3,0,"IS94,IS95,IS96","IS94,IS95,IS96",,,,,,ALL_PLANNED_EXECUTED
STRY0089402,GREEN,3,3,3,0,"IS97,IS98,IS99","IS97,IS98,IS99",,,,,,ALL_PLANNED_EXECUTED
STRY0089403,GREEN,1,1,1,0,IS106,IS106,,,,,,ALL_PLANNED_EXECUTED
STRY0089404,GREEN,6,6,6,0,"IS144,IS145,IS146,IS147,IS148,IS149","IS144,IS145,IS146,IS147,IS148,IS149",,,,,,ALL_PLANNED_EXECUTED
STRY0089405,GREEN,9,9,9,0,"IS108,IS109,IS110,IS111,IS112,IS113,IS114,IS115,IS116","IS108,IS109,IS110,IS111,IS112,IS113,IS114,IS115,IS116",,,,,,ALL_PLANNED_EXECUTED
STRY0089406,GREEN,15,15,15,0,"IS117,IS118,IS119,IS120,IS121,IS122,IS123,IS124,IS125,IS126,IS127,IS128,IS129,IS130,IS131","IS117,IS118,IS119,IS120,IS121,IS122,IS123,IS124,IS125,IS126,IS127,IS128,IS129,IS130,IS131",,,,,,ALL_PLANNED_EXECUTED
STRY0089869,GREEN,1,1,1,0,IS60,IS60,,,,,,ALL_PLANNED_EXECUTED
STRY0089871,GREEN,3,3,3,0,"IS64,IS65,IS66","IS64,IS65,IS66",,,,,,ALL_PLANNED_EXECUTED
STRY0089872,GREEN,1,1,1,0,IS68,IS68,,,,,,ALL_PLANNED_EXECUTED
STRY0089875,GREEN,4,4,4,0,"IS72,IS75,IS76,IS77","IS72,IS75,IS76,IS77",,,,,,ALL_PLANNED_EXECUTED
STRY0089880,GREEN,3,3,3,0,"IS100,IS101,IS102","IS100,IS101,IS102",,,,,,ALL_PLANNED_EXECUTED
STRY0089883,GREEN,1,1,1,0,CEMO701,CEMO701,,,,,,ALL_PLANNED_EXECUTED
STRY0089980,GREEN,1,1,1,0,IS107,IS107,,,,,,ALL_PLANNED_EXECUTED
STRY0089981,GREEN,3,3,3,0,"IS103,IS104,IS105","IS103,IS104,IS105",,,,,,ALL_PLANNED_EXECUTED
STRY0089982,GREEN,9,9,9,0,"IS132,IS133,IS134,IS135,IS136,IS137,IS138,IS139,IS140","IS132,IS133,IS134,IS135,IS136,IS137,IS138,IS139,IS140",,,,,,ALL_PLANNED_EXECUTED
STRY0089983,GREEN,3,3,3,0,"IS141,IS142,IS143","IS141,IS142,IS143",,,,,,ALL_PLANNED_EXECUTED
STRY0089984,GREEN,4,4,4,0,"IS150,IS151,IS152,IS153","IS150,IS151,IS152,IS153",,,,,,ALL_PLANNED_EXECUTED
STRY0089991,GREEN,5,5,5,0,"KP05,KP06,KP07,KP08,KP09","KP05,KP06,KP07,KP08,KP09",,,,,,ALL_PLANNED_EXECUTED
STRY0090030,GREEN,6,6,6,0,"IS78,IS79,IS80,IS81,IS82,IS83","IS78,IS79,IS80,IS81,IS82,IS83",,,,,,ALL_PLANNED_EXECUTED
STRY0090031,GREEN,2,2,2,0,"IS92,IS93","IS92,IS93",,,,,,ALL_PLANNED_EXECUTED
STRY0090083,GREEN,1,1,1,0,IS154,IS154,,,,,,ALL_PLANNED_EXECUTED
STRY0090085,GREEN,2,2,2,0,"IS155,IS156","IS155,IS156",,,,,,ALL_PLANNED_EXECUTED
STRY0090384,GREEN,1,1,1,0,KP58,KP58,,,,,,ALL_PLANNED_EXECUTED
